year,tree_id,species,bb_doy,fbb_doy,fbb_minus_bb
2014,BELE-03,BELE,138,NA,NA
2015,BELE-03,BELE,130,NA,NA
2016,BELE-03,BELE,136,NA,NA
2017,BELE-03,BELE,136,NA,NA
2018,BELE-03,BELE,130,NA,NA
2019,BELE-03,BELE,137,NA,NA
2020,BELE-03,BELE,138,NA,NA
2021,BELE-03,BELE,136,NA,NA
2022,BELE-03,BELE,134,NA,NA
2023,BELE-03,BELE,131,NA,NA
1990,BEPA-01,BEPA,124,NA,NA
1991,BEPA-01,BEPA,119,135,16
1992,BEPA-01,BEPA,134,144,10
1993,BEPA-01,BEPA,116,NA,NA
1994,BEPA-01,BEPA,127,134,7
1995,BEPA-01,BEPA,130,134,4
1996,BEPA-01,BEPA,119,114,-5
1997,BEPA-01,BEPA,134,134,0
1998,BEPA-01,BEPA,122,122,0
1999,BEPA-01,BEPA,126,NA,NA
2000,BEPA-01,BEPA,127,124,-3
2001,BEPA-01,BEPA,123,NA,NA
2002,BEPA-01,BEPA,126,112,-14
2003,BEPA-01,BEPA,127,123,-4
2004,BEPA-01,BEPA,123,NA,NA
2005,BEPA-01,BEPA,132,NA,NA
2006,BEPA-01,BEPA,129,NA,NA
2007,BEPA-01,BEPA,129,NA,NA
2008,BEPA-01,BEPA,128,NA,NA
2009,BEPA-01,BEPA,120,NA,NA
2010,BEPA-01,BEPA,115,NA,NA
2011,BEPA-01,BEPA,128,NA,NA
2012,BEPA-01,BEPA,124,NA,NA
2013,BEPA-01,BEPA,126,NA,NA
2014,BEPA-01,BEPA,136,NA,NA
2015,BEPA-01,BEPA,128,NA,NA
2016,BEPA-01,BEPA,133,NA,NA
2017,BEPA-01,BEPA,123,NA,NA
1990,BEPA-02,BEPA,118,NA,NA
1991,BEPA-02,BEPA,119,124,5
1992,BEPA-02,BEPA,131,NA,NA
1993,BEPA-02,BEPA,114,NA,NA
1994,BEPA-02,BEPA,122,134,12
1995,BEPA-02,BEPA,126,139,13
1996,BEPA-02,BEPA,115,NA,NA
1997,BEPA-02,BEPA,132,NA,NA
1998,BEPA-02,BEPA,118,126,8
1999,BEPA-02,BEPA,125,NA,NA
2000,BEPA-02,BEPA,124,NA,NA
2001,BEPA-02,BEPA,121,NA,NA
2002,BEPA-02,BEPA,112,108,-4
2003,BEPA-02,BEPA,125,123,-2
2004,BEPA-02,BEPA,120,NA,NA
2005,BEPA-02,BEPA,122,NA,NA
2006,BEPA-02,BEPA,124,NA,NA
2007,BEPA-02,BEPA,125,NA,NA
2008,BEPA-02,BEPA,124,NA,NA
2009,BEPA-02,BEPA,119,NA,NA
2010,BEPA-02,BEPA,107,NA,NA
2011,BEPA-02,BEPA,124,NA,NA
2012,BEPA-02,BEPA,112,NA,NA
2013,BEPA-02,BEPA,126,NA,NA
2014,BEPA-02,BEPA,135,NA,NA
2015,BEPA-02,BEPA,129,NA,NA
2016,BEPA-02,BEPA,133,NA,NA
1990,BEPA-03,BEPA,118,132,14
1991,BEPA-03,BEPA,119,128,9
1992,BEPA-03,BEPA,131,NA,NA
1993,BEPA-03,BEPA,117,NA,NA
1994,BEPA-03,BEPA,118,134,16
1995,BEPA-03,BEPA,126,NA,NA
1996,BEPA-03,BEPA,115,NA,NA
1997,BEPA-03,BEPA,131,NA,NA
1998,BEPA-03,BEPA,113,122,9
1999,BEPA-03,BEPA,120,NA,NA
2000,BEPA-03,BEPA,124,NA,NA
2001,BEPA-03,BEPA,120,NA,NA
2002,BEPA-03,BEPA,109,NA,NA
2003,BEPA-03,BEPA,124,NA,NA
2004,BEPA-03,BEPA,120,NA,NA
2005,BEPA-03,BEPA,125,NA,NA
2006,BEPA-03,BEPA,126,NA,NA
2007,BEPA-03,BEPA,127,NA,NA
2008,BEPA-03,BEPA,125,NA,NA
2009,BEPA-03,BEPA,119,NA,NA
2010,BEPA-03,BEPA,108,NA,NA
2011,BEPA-03,BEPA,123,NA,NA
2012,BEPA-03,BEPA,113,NA,NA
2013,BEPA-03,BEPA,125,NA,NA
1991,BEPA-04,BEPA,119,124,5
1992,BEPA-04,BEPA,131,144,13
1993,BEPA-04,BEPA,117,NA,NA
1994,BEPA-04,BEPA,122,134,12
1995,BEPA-04,BEPA,126,130,4
1996,BEPA-04,BEPA,116,102,-14
1997,BEPA-04,BEPA,132,134,2
1998,BEPA-04,BEPA,120,122,2
1999,BEPA-04,BEPA,125,125,0
2000,BEPA-04,BEPA,125,124,-1
2001,BEPA-04,BEPA,121,NA,NA
2002,BEPA-04,BEPA,111,108,-3
2003,BEPA-04,BEPA,124,120,-4
2004,BEPA-04,BEPA,120,NA,NA
2005,BEPA-04,BEPA,127,NA,NA
2006,BEPA-04,BEPA,123,NA,NA
2007,BEPA-04,BEPA,126,NA,NA
2008,BEPA-04,BEPA,121,NA,NA
2009,BEPA-04,BEPA,118,NA,NA
2010,BEPA-04,BEPA,108,NA,NA
2011,BEPA-04,BEPA,126,NA,NA
2012,BEPA-04,BEPA,115,NA,NA
2013,BEPA-05,BEPA,124,NA,NA
2014,BEPA-05,BEPA,130,NA,NA
2015,BEPA-05,BEPA,126,NA,NA
2016,BEPA-05,BEPA,129,NA,NA
2017,BEPA-05,BEPA,119,NA,NA
2018,BEPA-05,BEPA,126,NA,NA
2019,BEPA-05,BEPA,128,NA,NA
2020,BEPA-05,BEPA,135,NA,NA
2021,BEPA-05,BEPA,123,NA,NA
2022,BEPA-05,BEPA,130,NA,NA
2023,BEPA-05,BEPA,122,NA,NA
2014,BEPA-06,BEPA,134,NA,NA
2015,BEPA-06,BEPA,129,NA,NA
2016,BEPA-06,BEPA,133,NA,NA
2017,BEPA-06,BEPA,129,NA,NA
2018,BEPA-06,BEPA,129,NA,NA
2019,BEPA-06,BEPA,134,NA,NA
2020,BEPA-06,BEPA,137,NA,NA
2021,BEPA-06,BEPA,132,NA,NA
2022,BEPA-06,BEPA,NA,NA,NA
2023,BEPA-06,BEPA,NA,NA,NA
2017,BEPA-07,BEPA,120,NA,NA
2018,BEPA-07,BEPA,126,NA,NA
2019,BEPA-07,BEPA,129,NA,NA
2020,BEPA-07,BEPA,131,NA,NA
2021,BEPA-07,BEPA,125,NA,NA
2022,BEPA-07,BEPA,130,NA,NA
2023,BEPA-07,BEPA,125,NA,NA
2018,BEPA-08,BEPA,126,NA,NA
2019,BEPA-08,BEPA,129,NA,NA
2020,BEPA-08,BEPA,137,NA,NA
2021,BEPA-08,BEPA,126,NA,NA
2022,BEPA-08,BEPA,131,NA,NA
2023,BEPA-08,BEPA,126,NA,NA
1990,BEPO-01,BEPO,124,129,5
1991,BEPO-01,BEPO,116,128,12
1992,BEPO-01,BEPO,134,144,10
1993,BEPO-01,BEPO,116,134,18
1994,BEPO-01,BEPO,122,134,12
1995,BEPO-01,BEPO,126,130,4
1996,BEPO-01,BEPO,115,136,21
1997,BEPO-01,BEPO,134,NA,NA
1998,BEPO-01,BEPO,114,122,8
1999,BEPO-01,BEPO,125,NA,NA
2000,BEPO-01,BEPO,127,NA,NA
2001,BEPO-01,BEPO,123,NA,NA
1990,BEPO-02,BEPO,129,141,12
1991,BEPO-02,BEPO,125,135,10
1992,BEPO-02,BEPO,138,144,6
1993,BEPO-02,BEPO,123,NA,NA
1994,BEPO-02,BEPO,135,134,-1
1995,BEPO-02,BEPO,135,139,4
1996,BEPO-02,BEPO,119,132,13
1997,BEPO-02,BEPO,137,138,1
1998,BEPO-02,BEPO,122,126,4
1999,BEPO-02,BEPO,129,129,0
2000,BEPO-02,BEPO,128,130,2
2001,BEPO-02,BEPO,124,NA,NA
1990,BEPO-03,BEPO,128,132,4
1991,BEPO-03,BEPO,129,132,3
1992,BEPO-03,BEPO,138,141,3
1993,BEPO-03,BEPO,117,NA,NA
1994,BEPO-03,BEPO,129,134,5
1995,BEPO-03,BEPO,131,134,3
1996,BEPO-03,BEPO,119,102,-17
1997,BEPO-03,BEPO,136,NA,NA
1998,BEPO-03,BEPO,122,126,4
1999,BEPO-03,BEPO,129,NA,NA
2000,BEPO-03,BEPO,128,128,0
2001,BEPO-03,BEPO,124,NA,NA
1990,BEPO-04,BEPO,124,126,2
1991,BEPO-04,BEPO,119,124,5
1992,BEPO-04,BEPO,137,141,4
1993,BEPO-04,BEPO,117,NA,NA
1994,BEPO-04,BEPO,127,134,7
1995,BEPO-04,BEPO,130,134,4
1996,BEPO-04,BEPO,115,102,-13
1997,BEPO-04,BEPO,135,134,-1
1998,BEPO-04,BEPO,122,122,0
1999,BEPO-04,BEPO,126,132,6
2000,BEPO-04,BEPO,127,128,1
2001,BEPO-04,BEPO,123,NA,NA
1990,CADE-01,CADE,126,NA,NA
1991,CADE-01,CADE,120,NA,NA
1992,CADE-01,CADE,134,NA,NA
1993,CADE-01,CADE,121,NA,NA
1994,CADE-01,CADE,127,NA,NA
1995,CADE-01,CADE,128,NA,NA
1996,CADE-01,CADE,126,NA,NA
1997,CADE-01,CADE,134,NA,NA
1998,CADE-01,CADE,121,NA,NA
1999,CADE-01,CADE,126,NA,NA
2000,CADE-01,CADE,128,NA,NA
2001,CADE-01,CADE,122,NA,NA
1990,CADE-02,CADE,128,NA,NA
1991,CADE-02,CADE,125,NA,NA
1992,CADE-02,CADE,134,NA,NA
1993,CADE-02,CADE,123,NA,NA
1994,CADE-02,CADE,135,NA,NA
1995,CADE-02,CADE,132,NA,NA
1996,CADE-02,CADE,133,NA,NA
1997,CADE-02,CADE,134,NA,NA
1998,CADE-02,CADE,121,NA,NA
2000,CADE-02,CADE,128,NA,NA
1990,CADE-03,CADE,131,NA,NA
1991,CADE-03,CADE,129,NA,NA
1992,CADE-03,CADE,138,NA,NA
1993,CADE-03,CADE,121,NA,NA
1994,CADE-03,CADE,135,NA,NA
1995,CADE-03,CADE,132,NA,NA
1996,CADE-03,CADE,132,NA,NA
1997,CADE-03,CADE,135,NA,NA
1998,CADE-03,CADE,124,NA,NA
1999,CADE-03,CADE,126,NA,NA
2000,CADE-03,CADE,129,NA,NA
2001,CADE-03,CADE,124,NA,NA
1999,CADE-04,CADE,126,NA,NA
2001,CADE-04,CADE,124,NA,NA
1991,COAL-01,COAL,109,142,33
1992,COAL-01,COAL,113,160,47
1993,COAL-01,COAL,109,150,41
1999,COAL-01,COAL,120,125,5
2000,COAL-01,COAL,119,NA,NA
2001,COAL-01,COAL,120,NA,NA
2002,COAL-01,COAL,107,NA,NA
2003,COAL-01,COAL,120,160,40
2004,COAL-01,COAL,115,NA,NA
2005,COAL-01,COAL,112,NA,NA
2006,COAL-01,COAL,112,NA,NA
2007,COAL-01,COAL,124,NA,NA
2008,COAL-01,COAL,NA,NA,NA
1991,COAL-02,COAL,109,146,37
1992,COAL-02,COAL,120,NA,NA
1993,COAL-02,COAL,109,NA,NA
1994,COAL-02,COAL,115,162,47
1995,COAL-02,COAL,120,160,40
1996,COAL-02,COAL,115,NA,NA
1997,COAL-02,COAL,132,NA,NA
1991,COAL-03,COAL,109,146,37
1992,COAL-03,COAL,127,NA,NA
1993,COAL-03,COAL,113,160,47
1994,COAL-03,COAL,116,156,40
1995,COAL-03,COAL,121,154,33
1996,COAL-03,COAL,115,156,41
1997,COAL-03,COAL,126,164,38
1998,COAL-03,COAL,107,126,19
1999,COAL-03,COAL,120,150,30
2000,COAL-03,COAL,124,162,38
2001,COAL-03,COAL,120,153,33
2002,COAL-03,COAL,108,NA,NA
2003,COAL-03,COAL,123,160,37
2004,COAL-03,COAL,117,NA,NA
2005,COAL-03,COAL,116,NA,NA
2006,COAL-03,COAL,114,NA,NA
2007,COAL-03,COAL,122,NA,NA
2008,COAL-03,COAL,116,NA,NA
2009,COAL-03,COAL,117,NA,NA
2010,COAL-03,COAL,103,NA,NA
2011,COAL-03,COAL,121,NA,NA
2012,COAL-03,COAL,112,NA,NA
2013,COAL-03,COAL,122,NA,NA
2014,COAL-03,COAL,130,NA,NA
1998,COAL-04,COAL,117,131,14
1999,COAL-04,COAL,120,NA,NA
2000,COAL-04,COAL,NA,NA,NA
2001,COAL-04,COAL,150,NA,NA
2002,COAL-04,COAL,106,NA,NA
2003,COAL-04,COAL,NA,NA,NA
2004,COAL-04,COAL,NA,NA,NA
2005,COAL-04,COAL,NA,NA,NA
2006,COAL-04,COAL,NA,NA,NA
2007,COAL-04,COAL,NA,NA,NA
2008,COAL-04,COAL,NA,NA,NA
2009,COAL-04,COAL,NA,NA,NA
2010,COAL-04,COAL,NA,NA,NA
2011,COAL-04,COAL,NA,NA,NA
2012,COAL-04,COAL,NA,NA,NA
2013,COAL-04,COAL,NA,NA,NA
2014,COAL-04,COAL,NA,NA,NA
2015,COAL-04,COAL,NA,NA,NA
2016,COAL-04,COAL,NA,NA,NA
2017,COAL-04,COAL,NA,NA,NA
2018,COAL-04,COAL,NA,NA,NA
2019,COAL-04,COAL,NA,NA,NA
2020,COAL-04,COAL,NA,NA,NA
2021,COAL-04,COAL,NA,NA,NA
2022,COAL-04,COAL,NA,NA,NA
2023,COAL-04,COAL,NA,NA,NA
2009,COAL-05,COAL,116,NA,NA
2010,COAL-05,COAL,95,NA,NA
2011,COAL-05,COAL,118,NA,NA
2012,COAL-05,COAL,107,NA,NA
2013,COAL-05,COAL,120,NA,NA
2014,COAL-05,COAL,125,NA,NA
2015,COAL-05,COAL,120,NA,NA
2016,COAL-05,COAL,118,NA,NA
2017,COAL-05,COAL,116,NA,NA
2018,COAL-05,COAL,125,NA,NA
2019,COAL-05,COAL,122,NA,NA
2020,COAL-05,COAL,136,NA,NA
2021,COAL-05,COAL,NA,NA,NA
2022,COAL-05,COAL,NA,NA,NA
2023,COAL-05,COAL,NA,NA,NA
2015,COAL-06,COAL,119,NA,NA
2016,COAL-06,COAL,115,NA,NA
2017,COAL-06,COAL,117,NA,NA
2018,COAL-06,COAL,123,NA,NA
2019,COAL-06,COAL,119,NA,NA
2020,COAL-06,COAL,123,NA,NA
2021,COAL-06,COAL,122,NA,NA
2022,COAL-06,COAL,124,NA,NA
2023,COAL-06,COAL,112,NA,NA
1990,CRSP-01,CRSP,116,NA,NA
1991,CRSP-01,CRSP,111,NA,NA
1992,CRSP-01,CRSP,125,NA,NA
1993,CRSP-01,CRSP,118,NA,NA
1994,CRSP-01,CRSP,117,NA,NA
1995,CRSP-01,CRSP,120,NA,NA
1996,CRSP-01,CRSP,115,NA,NA
1997,CRSP-01,CRSP,123,NA,NA
1998,CRSP-01,CRSP,106,NA,NA
1999,CRSP-01,CRSP,120,NA,NA
2000,CRSP-01,CRSP,120,NA,NA
2001,CRSP-01,CRSP,124,NA,NA
2002,CRSP-01,CRSP,108,NA,NA
2003,CRSP-01,CRSP,130,NA,NA
2004,CRSP-01,CRSP,123,NA,NA
2005,CRSP-01,CRSP,122,NA,NA
2006,CRSP-01,CRSP,119,NA,NA
2007,CRSP-01,CRSP,126,NA,NA
2008,CRSP-01,CRSP,128,NA,NA
2009,CRSP-01,CRSP,116,NA,NA
2010,CRSP-01,CRSP,103,NA,NA
2011,CRSP-01,CRSP,124,NA,NA
2012,CRSP-01,CRSP,106,NA,NA
2013,CRSP-01,CRSP,121,NA,NA
2014,CRSP-01,CRSP,129,NA,NA
2015,CRSP-01,CRSP,127,NA,NA
2016,CRSP-01,CRSP,120,NA,NA
2017,CRSP-01,CRSP,118,NA,NA
2018,CRSP-01,CRSP,126,NA,NA
2019,CRSP-01,CRSP,124,NA,NA
2020,CRSP-01,CRSP,124,NA,NA
2021,CRSP-01,CRSP,113,NA,NA
2022,CRSP-01,CRSP,123,NA,NA
2023,CRSP-01,CRSP,111,NA,NA
1990,CRSP-02,CRSP,130,NA,NA
1991,CRSP-02,CRSP,124,NA,NA
1992,CRSP-02,CRSP,131,NA,NA
1993,CRSP-02,CRSP,116,NA,NA
1994,CRSP-02,CRSP,121,NA,NA
1995,CRSP-02,CRSP,126,NA,NA
1996,CRSP-02,CRSP,115,NA,NA
1997,CRSP-02,CRSP,127,NA,NA
1998,CRSP-02,CRSP,113,NA,NA
1999,CRSP-02,CRSP,124,NA,NA
2000,CRSP-02,CRSP,127,NA,NA
2001,CRSP-02,CRSP,123,NA,NA
2002,CRSP-02,CRSP,120,NA,NA
2003,CRSP-02,CRSP,127,144,17
2004,CRSP-02,CRSP,123,NA,NA
2005,CRSP-02,CRSP,118,NA,NA
2006,CRSP-02,CRSP,126,NA,NA
2007,CRSP-02,CRSP,126,NA,NA
2008,CRSP-02,CRSP,120,NA,NA
2009,CRSP-02,CRSP,119,NA,NA
2010,CRSP-02,CRSP,106,NA,NA
2011,CRSP-02,CRSP,124,NA,NA
2012,CRSP-02,CRSP,114,NA,NA
2013,CRSP-02,CRSP,123,NA,NA
2014,CRSP-02,CRSP,130,NA,NA
2015,CRSP-02,CRSP,126,NA,NA
2016,CRSP-02,CRSP,132,NA,NA
2017,CRSP-02,CRSP,118,NA,NA
2018,CRSP-02,CRSP,126,NA,NA
2019,CRSP-02,CRSP,124,NA,NA
2020,CRSP-02,CRSP,132,NA,NA
2021,CRSP-02,CRSP,120,NA,NA
2022,CRSP-02,CRSP,126,NA,NA
2023,CRSP-02,CRSP,115,NA,NA
1991,CRSP-03,CRSP,119,NA,NA
1992,CRSP-03,CRSP,134,NA,NA
1993,CRSP-03,CRSP,112,NA,NA
1994,CRSP-03,CRSP,121,NA,NA
1995,CRSP-03,CRSP,126,NA,NA
1996,CRSP-03,CRSP,125,NA,NA
1997,CRSP-03,CRSP,132,NA,NA
1998,CRSP-03,CRSP,117,NA,NA
1999,CRSP-03,CRSP,125,NA,NA
2000,CRSP-03,CRSP,128,NA,NA
2001,CRSP-03,CRSP,123,NA,NA
2002,CRSP-03,CRSP,126,NA,NA
2003,CRSP-03,CRSP,128,NA,NA
2004,CRSP-03,CRSP,124,NA,NA
2005,CRSP-03,CRSP,128,NA,NA
2006,CRSP-03,CRSP,125,NA,NA
2007,CRSP-03,CRSP,127,NA,NA
2008,CRSP-03,CRSP,126,NA,NA
2009,CRSP-03,CRSP,119,NA,NA
2010,CRSP-03,CRSP,112,NA,NA
2011,CRSP-03,CRSP,126,NA,NA
2012,CRSP-03,CRSP,116,NA,NA
2013,CRSP-03,CRSP,124,NA,NA
2014,CRSP-03,CRSP,130,NA,NA
2015,CRSP-03,CRSP,128,NA,NA
2016,CRSP-03,CRSP,130,NA,NA
2017,CRSP-03,CRSP,120,NA,NA
2018,CRSP-03,CRSP,126,NA,NA
2019,CRSP-03,CRSP,126,NA,NA
2020,CRSP-03,CRSP,134,NA,NA
2021,CRSP-03,CRSP,121,NA,NA
2022,CRSP-03,CRSP,135,NA,NA
2023,CRSP-03,CRSP,125,NA,NA
1990,FAGR-01,FAGR,134,NA,NA
1991,FAGR-01,FAGR,129,NA,NA
1992,FAGR-01,FAGR,138,NA,NA
1993,FAGR-01,FAGR,127,NA,NA
1994,FAGR-01,FAGR,135,NA,NA
1995,FAGR-01,FAGR,135,NA,NA
1996,FAGR-01,FAGR,138,NA,NA
1997,FAGR-01,FAGR,137,NA,NA
1998,FAGR-01,FAGR,124,NA,NA
1999,FAGR-01,FAGR,129,NA,NA
2000,FAGR-01,FAGR,130,NA,NA
2001,FAGR-01,FAGR,124,NA,NA
2002,FAGR-01,FAGR,130,NA,NA
2003,FAGR-01,FAGR,137,NA,NA
2004,FAGR-01,FAGR,129,NA,NA
2005,FAGR-01,FAGR,135,NA,NA
2006,FAGR-01,FAGR,138,NA,NA
2007,FAGR-01,FAGR,130,NA,NA
2008,FAGR-01,FAGR,131,NA,NA
2009,FAGR-01,FAGR,127,NA,NA
2010,FAGR-01,FAGR,122,NA,NA
2011,FAGR-01,FAGR,131,NA,NA
2012,FAGR-01,FAGR,132,NA,NA
2013,FAGR-01,FAGR,128,NA,NA
2014,FAGR-01,FAGR,137,NA,NA
2015,FAGR-01,FAGR,129,NA,NA
2016,FAGR-01,FAGR,137,NA,NA
2017,FAGR-01,FAGR,133,NA,NA
2018,FAGR-01,FAGR,133,NA,NA
2019,FAGR-01,FAGR,137,NA,NA
2020,FAGR-01,FAGR,137,NA,NA
2021,FAGR-01,FAGR,136,NA,NA
2022,FAGR-01,FAGR,134,NA,NA
2023,FAGR-01,FAGR,125,NA,NA
1990,FAGR-02,FAGR,128,NA,NA
1991,FAGR-02,FAGR,120,NA,NA
1992,FAGR-02,FAGR,131,NA,NA
1993,FAGR-02,FAGR,121,NA,NA
1994,FAGR-02,FAGR,127,NA,NA
1995,FAGR-02,FAGR,129,NA,NA
1996,FAGR-02,FAGR,127,NA,NA
1997,FAGR-02,FAGR,133,NA,NA
1998,FAGR-02,FAGR,121,178,57
1999,FAGR-02,FAGR,127,NA,NA
2000,FAGR-02,FAGR,128,NA,NA
2001,FAGR-02,FAGR,122,NA,NA
2002,FAGR-02,FAGR,123,NA,NA
1990,FAGR-03,FAGR,130,NA,NA
1991,FAGR-03,FAGR,125,NA,NA
1992,FAGR-03,FAGR,134,NA,NA
1993,FAGR-03,FAGR,126,NA,NA
1994,FAGR-03,FAGR,127,NA,NA
1995,FAGR-03,FAGR,132,NA,NA
1996,FAGR-03,FAGR,132,NA,NA
1997,FAGR-03,FAGR,134,NA,NA
1998,FAGR-03,FAGR,122,NA,NA
1999,FAGR-03,FAGR,125,NA,NA
2000,FAGR-03,FAGR,128,NA,NA
2001,FAGR-03,FAGR,123,NA,NA
2002,FAGR-03,FAGR,123,NA,NA
2003,FAGR-03,FAGR,132,NA,NA
2004,FAGR-03,FAGR,NA,NA,NA
1990,FAGR-04,FAGR,127,NA,NA
1991,FAGR-04,FAGR,124,NA,NA
1992,FAGR-04,FAGR,133,NA,NA
1993,FAGR-04,FAGR,121,NA,NA
1994,FAGR-04,FAGR,126,NA,NA
1995,FAGR-04,FAGR,128,NA,NA
1996,FAGR-04,FAGR,125,NA,NA
1997,FAGR-04,FAGR,130,NA,NA
1998,FAGR-04,FAGR,120,NA,NA
1999,FAGR-04,FAGR,120,NA,NA
2000,FAGR-04,FAGR,127,NA,NA
2001,FAGR-04,FAGR,120,NA,NA
2002,FAGR-04,FAGR,122,NA,NA
2003,FAGR-04,FAGR,128,NA,NA
2004,FAGR-04,FAGR,123,NA,NA
2005,FAGR-04,FAGR,126,NA,NA
2006,FAGR-04,FAGR,125,NA,NA
2007,FAGR-04,FAGR,126,NA,NA
2008,FAGR-04,FAGR,120,NA,NA
2009,FAGR-04,FAGR,119,NA,NA
2010,FAGR-04,FAGR,113,NA,NA
2011,FAGR-04,FAGR,124,118,-6
2012,FAGR-04,FAGR,114,NA,NA
2013,FAGR-04,FAGR,122,120,-2
2014,FAGR-04,FAGR,130,NA,NA
2015,FAGR-04,FAGR,126,NA,NA
2016,FAGR-04,FAGR,127,114,-13
2017,FAGR-04,FAGR,118,118,0
2018,FAGR-04,FAGR,126,NA,NA
2019,FAGR-04,FAGR,127,116,-11
2020,FAGR-04,FAGR,130,NA,NA
2021,FAGR-04,FAGR,124,120,-4
2022,FAGR-04,FAGR,128,NA,NA
2023,FAGR-04,FAGR,114,107,-7
2003,FAGR-05,FAGR,136,NA,NA
2004,FAGR-05,FAGR,129,NA,NA
2005,FAGR-05,FAGR,133,NA,NA
2006,FAGR-05,FAGR,131,NA,NA
2007,FAGR-05,FAGR,130,NA,NA
2008,FAGR-05,FAGR,130,NA,NA
2009,FAGR-05,FAGR,126,NA,NA
2010,FAGR-05,FAGR,122,NA,NA
2011,FAGR-05,FAGR,130,124,-6
2012,FAGR-05,FAGR,125,NA,NA
2013,FAGR-05,FAGR,128,NA,NA
2014,FAGR-05,FAGR,137,NA,NA
2015,FAGR-05,FAGR,129,NA,NA
2016,FAGR-05,FAGR,133,NA,NA
2005,FAGR-06,FAGR,129,NA,NA
2006,FAGR-06,FAGR,126,NA,NA
2007,FAGR-06,FAGR,129,NA,NA
2008,FAGR-06,FAGR,126,NA,NA
2009,FAGR-06,FAGR,120,NA,NA
2010,FAGR-06,FAGR,116,NA,NA
2011,FAGR-06,FAGR,124,124,0
2012,FAGR-06,FAGR,118,NA,NA
2013,FAGR-06,FAGR,124,NA,NA
2014,FAGR-06,FAGR,133,NA,NA
2015,FAGR-06,FAGR,128,NA,NA
2016,FAGR-06,FAGR,133,NA,NA
2017,FAGR-06,FAGR,123,NA,NA
2018,FAGR-06,FAGR,126,NA,NA
2019,FAGR-06,FAGR,129,NA,NA
2020,FAGR-06,FAGR,137,NA,NA
2021,FAGR-06,FAGR,128,NA,NA
2022,FAGR-06,FAGR,130,NA,NA
2023,FAGR-06,FAGR,121,112,-9
2017,FAGR-07,FAGR,121,118,-3
2018,FAGR-07,FAGR,129,NA,NA
2019,FAGR-07,FAGR,129,122,-7
2020,FAGR-07,FAGR,137,NA,NA
2021,FAGR-07,FAGR,128,120,-8
2022,FAGR-07,FAGR,131,NA,NA
2023,FAGR-07,FAGR,120,112,-8
1990,FRAM-01,FRAM,123,NA,NA
1991,FRAM-01,FRAM,119,NA,NA
1992,FRAM-01,FRAM,138,NA,NA
1993,FRAM-01,FRAM,119,NA,NA
1994,FRAM-01,FRAM,124,NA,NA
1995,FRAM-01,FRAM,130,NA,NA
1996,FRAM-01,FRAM,125,NA,NA
1997,FRAM-01,FRAM,135,NA,NA
1998,FRAM-01,FRAM,124,NA,NA
1999,FRAM-01,FRAM,126,125,-1
2000,FRAM-01,FRAM,128,NA,NA
2001,FRAM-01,FRAM,124,NA,NA
2002,FRAM-01,FRAM,128,NA,NA
2003,FRAM-01,FRAM,134,NA,NA
2004,FRAM-01,FRAM,128,NA,NA
2005,FRAM-01,FRAM,132,NA,NA
2006,FRAM-01,FRAM,128,NA,NA
2007,FRAM-01,FRAM,130,NA,NA
2008,FRAM-01,FRAM,130,NA,NA
2009,FRAM-01,FRAM,122,NA,NA
2010,FRAM-01,FRAM,120,NA,NA
2011,FRAM-01,FRAM,129,NA,NA
2012,FRAM-01,FRAM,125,NA,NA
2013,FRAM-01,FRAM,128,NA,NA
2014,FRAM-01,FRAM,137,NA,NA
2015,FRAM-01,FRAM,131,NA,NA
2016,FRAM-01,FRAM,142,NA,NA
2017,FRAM-01,FRAM,NA,NA,NA
1990,FRAM-02,FRAM,131,NA,NA
1991,FRAM-02,FRAM,132,NA,NA
1992,FRAM-02,FRAM,138,130,-8
1993,FRAM-02,FRAM,126,NA,NA
1994,FRAM-02,FRAM,135,NA,NA
1995,FRAM-02,FRAM,134,NA,NA
1996,FRAM-02,FRAM,137,NA,NA
1997,FRAM-02,FRAM,141,NA,NA
1998,FRAM-02,FRAM,126,131,5
1999,FRAM-02,FRAM,128,120,-8
2000,FRAM-02,FRAM,131,NA,NA
2001,FRAM-02,FRAM,124,NA,NA
2002,FRAM-02,FRAM,136,NA,NA
2003,FRAM-02,FRAM,138,NA,NA
2004,FRAM-02,FRAM,129,128,-1
2005,FRAM-02,FRAM,137,NA,NA
2006,FRAM-02,FRAM,134,126,-8
2007,FRAM-02,FRAM,138,NA,NA
2008,FRAM-02,FRAM,NA,NA,NA
1990,FRAM-03,FRAM,124,NA,NA
1991,FRAM-03,FRAM,119,NA,NA
1992,FRAM-03,FRAM,134,NA,NA
1993,FRAM-03,FRAM,120,NA,NA
1994,FRAM-03,FRAM,127,NA,NA
1995,FRAM-03,FRAM,126,NA,NA
1996,FRAM-03,FRAM,125,NA,NA
1997,FRAM-03,FRAM,134,NA,NA
1998,FRAM-03,FRAM,122,NA,NA
1999,FRAM-03,FRAM,128,NA,NA
2000,FRAM-03,FRAM,128,NA,NA
2001,FRAM-03,FRAM,124,NA,NA
2002,FRAM-03,FRAM,128,NA,NA
2003,FRAM-03,FRAM,137,NA,NA
2004,FRAM-03,FRAM,128,NA,NA
2005,FRAM-03,FRAM,132,NA,NA
2006,FRAM-03,FRAM,129,NA,NA
2007,FRAM-03,FRAM,NA,NA,NA
2008,FRAM-03,FRAM,129,NA,NA
